District,Incumbent,Party,Biden,Trump,Total,Biden%,Trump%
AK-AL,VACANT,(R),"153,778","189,951","357,569",43.0%,53.1%
AL-01,Jerry Carl,(R),"115,566","208,116","327,039",35.3%,63.6%
AL-02,Barry Moore,(R),"111,264","205,435","319,817",34.8%,64.2%
AL-03,Mike Rogers,(R),"102,772","210,797","316,695",32.5%,66.6%
AL-04,Robert Aderholt,(R),"60,733","262,359","326,261",18.6%,80.4%
AL-05,OPEN,(R),"123,032","216,584","345,255",35.6%,62.7%
AL-06,Gary Palmer,(R),"122,189","228,267","354,698",34.4%,64.4%
AL-07,Terri Sewell,(D),"214,068","109,612","326,206",65.6%,33.6%
AR-01,Rick Crawford,(R),"80,516","197,832","286,792",28.1%,69.0%
AR-02,French Hill,(R),"140,254","183,964","333,041",42.1%,55.2%
AR-03,Steve Womack,(R),"110,479","180,794","300,274",36.8%,60.2%
AR-04,Bruce Westerman,(R),"92,683","198,057","298,962",31.0%,66.2%
AZ-01,David Schweikert,(R),"231,887","225,013","462,784",50.1%,48.6%
AZ-02,Tom O'Halleran,(D),"183,714","215,659","405,633",45.3%,53.2%
AZ-03,Ruben Gallego,(D),"170,840","54,754","229,285",74.5%,23.9%
AZ-04,Greg Stanton,(D),"201,238","162,975","371,497",54.2%,43.9%
AZ-05,Andy Biggs,(R),"171,278","239,646","417,419",41.0%,57.4%
AZ-06,OPEN,(D),"214,896","214,580","436,079",49.3%,49.2%
AZ-07,Raúl Grijalva,(D),"194,860","97,580","296,840",65.6%,32.9%
AZ-08,Debbie Lesko,(R),"171,266","225,761","402,630",42.5%,56.1%
AZ-09,Paul Gosar,(R),"132,165","225,719","363,126",36.4%,62.2%
CA-01,Doug LaMalfa,(R),"136,550","203,077","348,189",39.2%,58.3%
CA-02,Jared Huffman,(D),"310,592","101,570","422,441",73.5%,24.0%
CA-03,OPEN,(R),"211,790","219,762","442,451",47.9%,49.7%
CA-04,Mike Thompson,(D),"250,308","113,844","373,278",67.1%,30.5%
CA-05,Tom McClintock,(R),"171,424","220,770","401,076",42.7%,55.0%
CA-06,Ami Bera,(D),"192,873","131,468","333,336",57.9%,39.4%
CA-07,Doris Matsui,(D),"228,897","102,737","339,420",67.4%,30.3%
CA-08,John Garamendi,(D),"244,070","70,550","321,343",76.0%,22.0%
CA-09,Josh Harder,(D),"157,640","121,642","285,397",55.2%,42.6%
CA-10,Mark DeSaulnier,(D),"280,973","119,815","409,383",68.6%,29.3%
CA-11,Nancy Pelosi,(D),"339,795","46,210","393,814",86.3%,11.7%
CA-12,Barbara Lee,(D),"328,830","31,734","368,206",89.3%,8.6%
CA-13,OPEN,(D),"125,261","100,222","230,706",54.3%,43.4%
CA-14,Eric Swalwell,(D),"239,561","87,626","334,248",71.7%,26.2%
CA-15,OPEN,(D),"272,883","71,552","351,079",77.7%,20.4%
CA-16,Anna Eshoo,(D),"288,193","85,593","382,082",75.4%,22.4%
CA-17,Ro Khanna,(D),"219,542","76,381","301,898",72.7%,25.3%
CA-18,Zoe Lofgren,(D),"190,117","72,029","267,951",71.0%,26.9%
CA-19,Jimmy Panetta,(D),"283,245","119,900","412,573",68.7%,29.1%
CA-20,Kevin McCarthy,(R),"127,496","214,492","349,862",36.4%,61.3%
CA-21,Jim Costa,(D),"133,827","87,856","226,362",59.1%,38.8%
CA-22,David Valadao,(R),"103,963","79,681","188,155",55.3%,42.3%
CA-23,Jay Obernolte,(R),"130,953","160,218","298,346",43.9%,53.7%
CA-24,Salud Carbajal,(D),"240,344","130,117","379,418",63.3%,34.3%
CA-25,Raul Ruiz,(D),"150,324","109,749","265,268",56.7%,41.4%
CA-26,Julia Brownley,(D),"222,994","147,422","378,303",58.9%,39.0%
CA-27,Mike Garcia,(R),"188,108","145,890","341,467",55.1%,42.7%
CA-28,Judy Chu,(D),"242,549","117,111","366,847",66.1%,31.9%
CA-29,Tony Cárdenas,(D),"204,924","63,885","274,903",74.5%,23.2%
CA-30,Adam Schiff,(D),"273,895","98,576","379,374",72.2%,26.0%
CA-31,Grace Napolitano,(D),"198,028","102,679","307,073",64.5%,33.4%
CA-32,Brad Sherman,(D),"271,209","112,044","390,332",69.5%,28.7%
CA-33,Pete Aguilar,(D),"168,266","99,017","273,478",61.5%,36.2%
CA-34,Jimmy Gomez,(D),"205,043","42,309","253,290",81.0%,16.7%
CA-35,Norma Torres,(D),"173,588","97,138","276,741",62.7%,35.1%
CA-36,Ted Lieu,(D),"299,046","113,323","421,108",71.0%,26.9%
CA-37,OPEN,(D),"239,814","34,760","279,846",85.7%,12.4%
CA-38,Linda Sánchez,(D),"217,122","114,836","338,870",64.1%,33.9%
CA-39,Mark Takano,(D),"165,291","95,616","266,730",62.0%,35.8%
CA-40,Young Kim,(R),"212,169","204,203","424,992",49.9%,48.0%
CA-41,Ken Calvert,(R),"178,995","182,973","368,474",48.6%,49.7%
CA-42,OPEN,(D),"207,750","74,998","289,669",71.7%,25.9%
CA-43,Maxine Waters,(D),"218,764","46,043","270,782",80.8%,17.0%
CA-44,Nanette Barragán,(D),"213,507","72,413","292,791",72.9%,24.7%
CA-45,Michelle Steel,(R),"186,196","164,111","357,137",52.1%,46.0%
CA-46,Lou Correa,(D),"162,579","85,483","253,538",64.1%,33.7%
CA-47,Katie Porter,(D),"212,948","169,641","390,918",54.5%,43.4%
CA-48,Darrell Issa,(R),"167,285","215,540","391,616",42.7%,55.0%
CA-49,Mike Levin,(D),"221,230","174,975","405,298",54.6%,43.2%
CA-50,Scott Peters,(D),"262,795","129,606","401,947",65.4%,32.2%
CA-51,Sara Jacobs,(D),"231,182","130,132","370,060",62.5%,35.2%
CA-52,Juan Vargas,(D),"205,523","93,111","304,934",67.4%,30.5%
CO-01,Diana DeGette,(D),"315,904","72,379","397,310",79.5%,18.2%
CO-02,Joe Neguse,(D),"306,400","128,491","446,260",68.7%,28.8%
CO-03,Lauren Boebert,(R),"184,181","218,187","412,128",44.7%,52.9%
CO-04,Ken Buck,(R),"174,553","256,585","442,183",39.5%,58.0%
CO-05,Doug Lamborn,(R),"160,880","198,614","373,408",43.1%,53.2%
CO-06,Jason Crow,(D),"232,517","141,195","383,771",60.6%,36.8%
CO-07,OPEN,(D),"256,166","190,987","459,940",55.7%,41.5%
CO-08,OPEN,NEW,"173,751","158,170","341,951",50.8%,46.3%
CT-01,John Larson,(D),"227,830","126,759","359,895",63.3%,35.2%
CT-02,Joe Courtney,(D),"214,158","169,366","391,348",54.7%,43.3%
CT-03,Rosa DeLauro,(D),"213,122","142,174","359,820",59.2%,39.5%
CT-04,Jim Himes,(D),"230,411","120,230","355,456",64.8%,33.8%
CT-05,Jahana Hayes,(D),"195,160","156,762","357,217",54.6%,43.9%
DE-AL,Lisa Blunt Rochester,(D),"296,268","200,603","504,010",58.8%,39.8%
