pecan,id,fullName,shortName,party,fullPartyName,ballotOrder,editorialOrder,isIncumbent,isAggregable,polarity,description
2022-11-08/44/question001/general,47077,No,No,,,2,20,,,False,Do not issue bonds
2022-11-08/09/cd01/general,22979,Mary Sanders,Sanders,other-party,Green Party,4,20,,,,
2022-11-08/02/gov/general,7190,Les Gara,Gara,dem,,2,20,,,,
2022-11-08/01/question002/general,6324,No,No,,,2,20,,,False,Don't allow internet funding
2022-12-06/13/sen/runoff,22251,Raphael Warnock,Warnock,dem,,2,0,1,,,
2022-12-06/13/sen/runoff,22554,Herschel Walker,Walker,gop,,1,0,,,,
2022-11-08/12/cd23/general,23294,Jared Moskowitz,Moskowitz,dem,,2,20,,,,
2022-11-08/13/cd08/general,22650,Darrius Butler,Butler,dem,,2,20,,,,
2022-11-08/23/gov/general,29915,Janet Mills,Mills,dem,,3,8,1,,,
2022-11-08/24/cd02/general,32507,Nicolee Ambrose,Ambrose,gop,,1,20,,,,
2022-11-08/27/cd02/general,34783,Tyler Kistner,Kistner,gop,,2,12,,,,
2022-11-08/27/gov/general,34768,Scott Jensen,Jensen,gop,,3,12,,,,
2022-11-08/27/gov/general,33509,Tim Walz,Walz,dem,,4,10,1,,,
2022-11-08/26/gov/general,37339,Tudor Dixon,Dixon,gop,,2,20,,,,
2022-11-08/28/cd04/general,32686,Mike Ezell,Ezell,gop,,2,20,,,,
2022-11-08/32/gov/general,37647,Joe Lombardo,Lombardo,gop,,3,12,,,,
2022-11-08/35/gov/general,39229,Mark Ronchetti,Ronchetti,gop,,2,12,,,,
2022-11-08/35/gov/general,38633,Michelle Lujan Grisham,Lujan Grisham,dem,,3,10,1,,,
2022-11-08/34/cd07/general,39965,Thomas Kean Jr.,Kean Jr.,gop,,2,20,,,,
2022-11-08/41/gov/general,6207,Tina Kotek,Kotek,dem,,1,12,,,,
2022-11-08/40/sen/general,44647,James Lankford,Lankford,gop,,2,20,1,,,
2022-11-08/42/cd01/general,51883,Brian Fitzpatrick,Fitzpatrick,gop,,2,20,1,,,
2022-11-08/55/cd05/general,28451,Mike Van Someren,Van Someren,dem,,1,20,,,,
2022-11-08/01/question009/general,6355,Yes,Yes,,,1,20,,,True,Regulate Lake View sewer systems
2022-11-08/06/question029/general,23480,Yes,Yes,,,1,20,,,True,Enact new requirements
2022-11-08/13/question00B/general,23099,No,No,,,2,20,,,False,Maintain current exemptions
2022-11-08/24/question001/general,32721,No,No,,,2,20,,,False,Keep current names
2022-11-08/31/question433/general,32035,Yes,Yes,,,1,20,,,True,Increase minimum wage to $15
2022-11-08/37/sen/general,45554,Ted Budd,Budd,gop,,4,12,,,,
2022-11-08/04/sen/general,10521,Blake Masters,Masters,gop,,2,20,,,,
2022-11-08/12/sen/general,23167,Val Demings,Demings,dem,,1,12,,,,
2022-11-08/12/sen/general,19377,Marco Rubio,Rubio,gop,,5,10,1,,,
2022-11-08/23/gov/general,31050,Paul LePage,LePage,gop,,2,10,,,,
2022-11-08/27/cd02/general,33541,Angie Craig,Craig,dem,,3,10,1,,,
2022-11-08/32/gov/general,36713,Steve Sisolak,Sisolak,dem,,4,10,1,,,
2022-11-08/37/sen/general,45548,Cheri Beasley,Beasley,dem,,2,10,,,,
2022-11-08/02/sen/general,6021,Lisa Murkowski,Murkowski,gop,,3,10,1,,,
2022-11-08/41/gov/general,6226,Christine Drazan,Drazan,gop,,5,10,,,,
2022-11-08/02/gov/general,7392,Bill Walker,Walker,other-party,,4,20,,,,
2022-11-08/02/gov/general,7191,Mike Dunleavy,Dunleavy,gop,,1,20,1,,,
2022-11-08/02/gov/general,7403,Total Write-Ins,Total Write-Ins,other-party,,5,20,,,,
2022-11-08/02/gov/general,7196,Charlie Pierce,Pierce,gop,,3,20,,,,
2022-11-08/02/cd00/general,7377,Nick Begich,Begich,gop,,1,20,,,,
2022-11-08/02/cd00/general,7485,Chris Bye,Bye,other-party,Libertarian Party,2,20,,,,
2022-11-08/02/cd00/general,7374,Mary Peltola,Peltola,dem,,4,20,1,,,
2022-11-08/02/cd00/general,7404,Total Write-Ins,Total Write-Ins,other-party,,5,20,,,,
2022-11-08/42/sen/general,53552,Daniel Wassmer,Wassmer,other-party,,4,20,,,,
2022-11-08/02/sen/general,7172,Patricia Chesbro,Chesbro,dem,,1,20,,,,
2022-11-08/02/sen/general,7402,Total Write-Ins,Total Write-Ins,other-party,,5,20,,,,
2022-11-08/02/sen/general,7380,Buzz Kelley,Kelley,gop,,2,20,,,,
2022-11-08/01/cd01/general,5819,Jerry Carl,Carl,gop,,1,20,1,,,
2022-11-08/01/cd01/general,6255,Alexander Remrey,Remrey,other-party,Libertarian Party,2,20,,,,
