id,rating,holdingParty,isBallot,isUncontested,excludeFromBalance,name,description,note
2022-11-08/55/sen/general,toss-up,gop,,,,,,
2022-11-08/38/sen/general,solid-r,gop,,,,,,
2022-11-08/45/sen/general,solid-r,gop,,,,,,
2022-11-08/21/sen/general,solid-r,gop,,,,,,
2022-11-08/29/sen/general,likely-r,gop,,,,,,
2022-11-08/12/sen/general,likely-r,gop,,,,,,
2022-11-08/36/sen/general,solid-d,dem,,,,,,
2022-11-08/24/sen/general,solid-d,dem,,,,,,
2022-11-08/46/sen/general,solid-r,gop,,,,,,
2022-11-08/15/sen/general,solid-d,dem,,,,,,
2022-11-08/53/sen/general,lean-d,dem,,,,,,
2022-11-08/50/sen/general,solid-d,dem,,,,,,
2022-11-08/39/sen/general,lean-r,gop,,,,,,
2022-11-08/37/sen/general,lean-r,gop,,,,,,
2022-11-08/29/question003/general,,,1,,,Constitutional Amendment 3,"Legalize marijuana use for people over 21, allow certain people incarcerated for marijuana-related offenses to petition for release",
2022-11-08/17/sen/general,solid-d,dem,,,,,,
2022-11-08/41/sen/general,solid-d,dem,,,,,,
2022-11-08/40/sen/general,solid-r,gop,,,,,,
2022-11-08/16/sen/general,solid-r,gop,,,,,,
2022-11-08/49/sen/general,likely-r,gop,,,,,,
2022-11-08/18/sen/general,solid-r,gop,,,,,,
2022-11-08/20/sen/general,solid-r,gop,,,,,,
2022-11-08/32/sen/general,toss-up,dem,,,,,,
2022-11-08/06/question030/general,,,1,,,Proposition 30,Increase zero-emission vehicle incentives and infrastructure,
2022-11-08/06/question031/general,,,1,,,Referendum 31,"Uphold S.B. 793, which bans sale of flavored tobacco products",
2022-11-08/08/question122/general,,,1,,,Proposition 122,Decriminalize use and possession of some hallucinogenic/entheogenic plants and fungi,
2022-11-08/08/question123/general,,,1,,,Proposition 123,"Create a state ""Affordable housing fund""",
2022-11-08/13/question002/general,,,1,,,Constitutional Amendment 2,Authorize local governments to grant temporary tax relief to disaster-stricken properties,
2022-11-08/19/question001/general,,,1,,,Constitutional Amendment 1,Amend state constitution to affirm rights to own and bear arms,
2022-11-08/20/question001/general,,,1,,,Constitutional Amendment 1,Amend state constitution to authorize state lawmakers to suspend rules enacted by the executive branch,
2022-11-08/29/question004/general,,,1,,,Constitutional Amendment 4,Increase minimum funding to Kansas City police force,
